ADM1_NAME,ADM_LEVEL,COMMENT,GEO_LABEL,BTOTL_2000,B0004_2000,B0509_2000,B1014_2000,B1519_2000,B2024_2000,B2529_2000,B3034_2000,B3539_2000,B4044_2000,B4549_2000,B5054_2000,B5559_2000,B6064_2000,B6569_2000,B7074_2000,B7579_2000,B80PL_2000,BTOTL_2001,B0004_2001,B0509_2001,B1014_2001,B1519_2001,B2024_2001,B2529_2001,B3034_2001,B3539_2001,B4044_2001,B4549_2001,B5054_2001,B5559_2001,B6064_2001,B6569_2001,B7074_2001,B7579_2001,B80PL_2001,BTOTL_2002,B0004_2002,B0509_2002,B1014_2002,B1519_2002,B2024_2002,B2529_2002,B3034_2002,B3539_2002,B4044_2002,B4549_2002,B5054_2002,B5559_2002,B6064_2002,B6569_2002,B7074_2002,B7579_2002,B80PL_2002,BTOTL_2003,B0004_2003,B0509_2003,B1014_2003,B1519_2003,B2024_2003,B2529_2003,B3034_2003,B3539_2003,B4044_2003,B4549_2003,B5054_2003,B5559_2003,B6064_2003,B6569_2003,B7074_2003,B7579_2003,B80PL_2003,BTOTL_2004,B0004_2004,B0509_2004,B1014_2004,B1519_2004,B2024_2004,B2529_2004,B3034_2004,B3539_2004,B4044_2004,B4549_2004,B5054_2004,B5559_2004,B6064_2004,B6569_2004,B7074_2004,B7579_2004,B80PL_2004,BTOTL_2005,B0004_2005,B0509_2005,B1014_2005,B1519_2005,B2024_2005,B2529_2005,B3034_2005,B3539_2005,B4044_2005,B4549_2005,B5054_2005,B5559_2005,B6064_2005,B6569_2005,B7074_2005,B7579_2005,B80PL_2005,BTOTL_2006,B0004_2006,B0509_2006,B1014_2006,B1519_2006,B2024_2006,B2529_2006,B3034_2006,B3539_2006,B4044_2006,B4549_2006,B5054_2006,B5559_2006,B6064_2006,B6569_2006,B7074_2006,B7579_2006,B80PL_2006,BTOTL_2007,B0004_2007,B0509_2007,B1014_2007,B1519_2007,B2024_2007,B2529_2007,B3034_2007,B3539_2007,B4044_2007,B4549_2007,B5054_2007,B5559_2007,B6064_2007,B6569_2007,B7074_2007,B7579_2007,B80PL_2007,BTOTL_2008,B0004_2008,B0509_2008,B1014_2008,B1519_2008,B2024_2008,B2529_2008,B3034_2008,B3539_2008,B4044_2008,B4549_2008,B5054_2008,B5559_2008,B6064_2008,B6569_2008,B7074_2008,B7579_2008,B80PL_2008,BTOTL_2009,B0004_2009,B0509_2009,B1014_2009,B1519_2009,B2024_2009,B2529_2009,B3034_2009,B3539_2009,B4044_2009,B4549_2009,B5054_2009,B5559_2009,B6064_2009,B6569_2009,B7074_2009,B7579_2009,B80PL_2009,BTOTL_2010,B0004_2010,B0509_2010,B1014_2010,B1519_2010,B2024_2010,B2529_2010,B3034_2010,B3539_2010,B4044_2010,B4549_2010,B5054_2010,B5559_2010,B6064_2010,B6569_2010,B7074_2010,B7579_2010,B80PL_2010,BTOTL_2011,B0004_2011,B0509_2011,B1014_2011,B1519_2011,B2024_2011,B2529_2011,B3034_2011,B3539_2011,B4044_2011,B4549_2011,B5054_2011,B5559_2011,B6064_2011,B6569_2011,B7074_2011,B7579_2011,B80PL_2011,BTOTL_2012,B0004_2012,B0509_2012,B1014_2012,B1519_2012,B2024_2012,B2529_2012,B3034_2012,B3539_2012,B4044_2012,B4549_2012,B5054_2012,B5559_2012,B6064_2012,B6569_2012,B7074_2012,B7579_2012,B80PL_2012,BTOTL_2013,B0004_2013,B0509_2013,B1014_2013,B1519_2013,B2024_2013,B2529_2013,B3034_2013,B3539_2013,B4044_2013,B4549_2013,B5054_2013,B5559_2013,B6064_2013,B6569_2013,B7074_2013,B7579_2013,B80PL_2013,BTOTL_2014,B0004_2014,B0509_2014,B1014_2014,B1519_2014,B2024_2014,B2529_2014,B3034_2014,B3539_2014,B4044_2014,B4549_2014,B5054_2014,B5559_2014,B6064_2014,B6569_2014,B7074_2014,B7579_2014,B80PL_2014,BTOTL_2015,B0004_2015,B0509_2015,B1014_2015,B1519_2015,B2024_2015,B2529_2015,B3034_2015,B3539_2015,B4044_2015,B4549_2015,B5054_2015,B5559_2015,B6064_2015,B6569_2015,B7074_2015,B7579_2015,B80PL_2015,BTOTL_2016,B0004_2016,B0509_2016,B1014_2016,B1519_2016,B2024_2016,B2529_2016,B3034_2016,B3539_2016,B4044_2016,B4549_2016,B5054_2016,B5559_2016,B6064_2016,B6569_2016,B7074_2016,B7579_2016,B80PL_2016,BTOTL_2017,B0004_2017,B0509_2017,B1014_2017,B1519_2017,B2024_2017,B2529_2017,B3034_2017,B3539_2017,B4044_2017,B4549_2017,B5054_2017,B5559_2017,B6064_2017,B6569_2017,B7074_2017,B7579_2017,B80PL_2017,BTOTL_2018,B0004_2018,B0509_2018,B1014_2018,B1519_2018,B2024_2018,B2529_2018,B3034_2018,B3539_2018,B4044_2018,B4549_2018,B5054_2018,B5559_2018,B6064_2018,B6569_2018,B7074_2018,B7579_2018,B80PL_2018,BTOTL_2019,B0004_2019,B0509_2019,B1014_2019,B1519_2019,B2024_2019,B2529_2019,B3034_2019,B3539_2019,B4044_2019,B4549_2019,B5054_2019,B5559_2019,B6064_2019,B6569_2019,B7074_2019,B7579_2019,B80PL_2019,BTOTL_2020,B0004_2020,B0509_2020,B1014_2020,B1519_2020,B2024_2020,B2529_2020,B3034_2020,B3539_2020,B4044_2020,B4549_2020,B5054_2020,B5559_2020,B6064_2020,B6569_2020,B7074_2020,B7579_2020,B80PL_2020
ANDAMAN AND NICOBAR ISLANDS,1,NA,INDIA_ANDAMAN AND NICOBAR ISLANDS,350688,34135,30076,29754,30569,34721,39874,34410,28053,22741,19793,15134,12508,7742,4944,3033,2033,1168,353187,33811,30094,29654,30538,34746,39989,35020,28559,23166,20188,15396,12716,7880,5039,3102,2084,1205,355593,33450,30071,29590,30497,34769,40045,35582,29074,23599,20590,15677,12929,8020,5141,3172,2139,1248,357912,33066,29985,29565,30444,34785,40106,36036,29605,24040,21000,15980,13153,8165,5247,3247,2199,1289,360123,32662,29842,29574,30375,34797,40169,36384,30146,24495,21416,16303,13382,8312,5352,3323,2258,1333,362223,32233,29644,29614,30285,34802,40228,36623,30700,24955,21841,16647,13621,8465,5461,3401,2321,1382,364193,31781,29395,29647,30205,34791,40285,36748,31269,25425,22272,16998,13878,8623,5575,3483,2388,1430,366035,31324,29108,29637,30158,34770,40335,36817,31794,25905,22708,17355,14151,8780,5690,3564,2455,1484,367775,30878,28802,29566,30151,34732,40378,36887,32218,26390,23152,17716,14441,8946,5805,3647,2525,1541,369414,30454,28473,29436,30179,34673,40409,36955,32544,26887,23602,18083,14749,9114,5924,3734,2599,1599,370936,30048,28122,29252,30236,34591,40429,37022,32771,27394,24059,18452,15072,9286,6044,3822,2673,1663,372351,29667,27745,29019,30288,34520,40437,37082,32898,27912,24526,18827,15402,9472,6167,3911,2750,1728,373628,29293,27362,28747,30294,34487,40426,37134,32970,28391,25000,19206,15739,9666,6291,4000,2827,1795,374796,28905,26990,28453,30238,34500,40396,37181,33043,28781,25482,19591,16077,9875,6419,4092,2906,1867,375843,28509,26631,28139,30121,34551,40342,37216,33116,29085,25973,19981,16421,10092,6552,4186,2987,1941,376770,28104,26288,27802,29950,34634,40260,37241,33185,29298,26476,20381,16768,10324,6688,4281,3072,2018,377587,27708,25970,27441,29725,34709,40190,37254,33251,29422,26989,20785,17120,10559,6831,4379,3156,2098,378305,27328,25653,27071,29464,34735,40169,37251,33310,29501,27464,21197,17477,10799,6984,4478,3243,2181,378920,26960,25327,26714,29182,34688,40201,37232,33361,29578,27856,21616,17841,11040,7145,4581,3331,2267,379434,26605,24992,26370,28879,34574,40277,37189,33407,29657,28163,22047,18209,11285,7316,4685,3422,2357,379832,26260,24650,26044,28548,34398,40392,37124,33444,29731,28385,22483,18586,11535,7497,4794,3513,2448
ANDHRA PRADESH,1,TELANGANA SPLIT OFF IN 2014,INDIA_ANDHRA PRADESH,44463268,4223807,4080524,4071537,4278682,4356521,4234848,3643950,3248388,2745335,2339823,1948866,1587900,1435159,1054731,678294,338706,196197,44878150,4192760,4092081,4066658,4283495,4368833,4255805,3716568,3314177,2802944,2391719,1986972,1617868,1463817,1077970,695206,348166,203111,45283404,4156679,4097420,4066445,4286743,4380569,4270381,3784317,3381374,2861624,2444971,2027652,1648774,1493266,1101852,712792,358134,210411,45678357,4117533,4094268,4071355,4287931,4391481,4285233,3840437,3450035,2921437,2499074,2071251,1680710,1523478,1126422,730983,368619,218110,46061591,4075356,4082853,4080778,4286506,4401342,4299945,3884987,3520232,2982414,2554054,2117597,1713762,1554470,1151706,749748,379622,226219,46431753,4029877,4063695,4094025,4282083,4409934,4314384,3917743,3592019,3044589,2609933,2166756,1747790,1586273,1177701,769049,391140,234762,46786113,3980862,4037063,4106448,4278575,4416910,4328212,3938166,3665474,3107853,2666612,2216818,1784302,1618799,1204280,788807,403125,243807,47125823,3930672,4005183,4112539,4279813,4421977,4341155,3952394,3733852,3172193,2724058,2267897,1822896,1652001,1231318,808949,415515,253411,47453671,3882025,3970107,4110129,4286433,4424765,4353099,3966687,3790537,3237757,2782403,2319572,1863953,1686006,1258826,829515,428280,263577,47768972,3835327,3931909,4099465,4297826,4424755,4363843,3980710,3835615,3304620,2841719,2371886,1907318,1720938,1286823,850524,441383,274311,48070995,3791123,3890186,4081077,4313339,4421561,4373212,3994349,3868894,3372864,2902045,2424877,1953054,1756650,1315355,871977,454822,285610,48358984,3749688,3844808,4055277,4328104,4419327,4380982,4007422,3889969,3442677,2963398,2478574,1999585,1794821,1344455,893864,468578,297455,48632380,3708617,3798118,4024218,4336260,4422000,4386883,4019694,3904939,3507769,3025832,2533018,2047068,1835143,1374179,916160,482634,309848,48891016,3665722,3752661,3989879,4335400,4430168,4390447,4030964,3919918,3561863,3089410,2588289,2095096,1877942,1404616,938852,497023,322766,49134807,3621409,3708911,3952349,4325782,4443237,4391176,4041079,3934584,3605036,3154230,2644443,2143704,1923085,1435862,961964,511748,336208,49363591,3576062,3667429,3911224,4307978,4460557,4388706,4049879,3948848,3637126,3220365,2701534,2192927,1970616,1467808,985540,526819,350173,49578770,3531270,3628589,3866466,4282395,4477210,4387218,4057232,3962577,3657806,3288054,2759627,2242844,2019021,1501910,1009630,542246,364675,49781634,3488330,3590118,3820467,4251352,4487182,4390684,4062938,3975596,3672843,3351315,2818805,2293518,2068475,1537931,1034299,558040,379741,49971684,3446944,3549866,3775788,4216937,4487933,4399715,4066564,3987712,3687968,3404129,2879150,2345029,2118585,1576164,1059621,574198,395381,50148417,3406780,3508243,3732888,4179207,4479715,4413694,4067643,3998758,3702865,3446574,2940749,2397426,2169391,1616469,1085670,590734,411611,50311319,3367595,3465601,3692331,4137722,4463091,4431969,4065852,4008555,3717443,3478488,3003653,2450752,2220914,1658896,1112362,607664,428431
ARUNĀCHAL PRADESH,1,NA,INDIA_ARUNĀCHAL PRADESH,1069172,139861,139336,131528,119219,101679,97516,80354,66504,55185,43604,33281,22361,15656,9805,6539,3843,2901,1094813,141225,142138,133627,121403,103720,99684,83364,69015,57306,45328,34513,23172,16238,10194,6815,4017,3054,1120729,142440,144789,135925,123591,105793,101755,86350,71630,59514,47133,35821,24021,16851,10598,7103,4202,3213,1146893,143552,147196,138445,125775,107900,103886,89149,74350,61808,49005,37224,24905,17487,11017,7411,4395,3388,1173295,144570,149357,141190,127928,110027,106059,91755,77184,64200,50954,38713,25832,18151,11460,7734,4606,3575,1199874,145475,151267,144132,130034,112179,108288,94158,80139,66681,52974,40298,26806,18846,11925,8073,4826,3773,1226595,146254,152945,147127,132221,114348,110557,96324,83227,69276,55078,41951,27846,19570,12405,8422,5061,3983,1253418,146984,154446,149968,134604,116507,112858,98391,86281,71960,57258,43673,28950,20319,12908,8788,5311,4212,1280471,147766,155831,152554,137207,118662,115188,100511,89156,74758,59524,45454,30123,21103,13430,9172,5572,4460,1307670,148605,157097,154884,140030,120782,117537,102670,91829,77665,61875,47301,31368,21923,13972,9572,5840,4720,1335032,149535,158224,156959,143046,122861,119907,104872,94290,80688,64316,49219,32687,22777,14538,9987,6126,5000,1362529,150577,159207,158780,146122,125012,122286,107113,96516,83841,66855,51209,34060,23688,15121,10422,6422,5298,1390117,151630,160128,160418,149050,127350,124668,109384,98645,86972,69499,53273,35494,24652,15731,10873,6732,5618,1417788,152605,161098,161946,151734,129905,127037,111686,100828,89920,72243,55417,36972,25678,16367,11339,7058,5955,1445544,153520,162134,163353,154162,132663,129379,114008,103056,92672,75099,57645,38512,26767,17033,11828,7398,6315,1473329,154379,163261,164616,156338,135615,131675,116342,105324,95213,78073,59957,40102,27922,17730,12337,7752,6693,1501236,155249,164503,165726,158272,138617,134050,118698,107629,97517,81175,62367,41759,29125,18465,12866,8123,7095,1529252,156181,165756,166765,160017,141478,136637,121046,109972,99723,84256,64867,43475,30377,19254,13420,8507,7521,1557379,157173,166918,167854,161651,144103,139441,123382,112339,101984,87152,67471,45260,31677,20090,14000,8913,7971,1585564,158207,168003,169006,163153,146487,142470,125687,114727,104287,89863,70174,47115,33025,20974,14603,9336,8447,1613803,159270,169022,170256,164518,148629,145701,127947,117129,106634,92372,72989,49041,34422,21918,15232,9776,8947
ASSAM,1,NA,INDIA_ASSAM,26085512,3417744,3137194,2783256,2548235,2441909,2411301,2011485,1732421,1398664,1187987,937551,696102,518517,358501,257259,149900,97486,26513628,3422861,3174021,2804521,2573616,2470328,2444553,2069561,1782926,1440483,1224889,964219,715373,533479,369593,265988,155428,101789,26940733,3423923,3206659,2829406,2598498,2498916,2474698,2125924,1835093,1483605,1263139,992601,735401,548991,381114,275124,161283,106358,27366378,3422433,3233161,2858317,2622538,2527525,2505518,2176686,1888968,1528073,1302502,1022922,756243,565053,393073,284674,167478,111214,27789575,3418349,3253533,2890914,2645380,2556003,2536783,2221733,1944644,1573947,1343019,1055121,777972,581682,405497,294604,174024,116370,28209447,3411359,3268017,2926823,2666742,2584233,2568428,2260774,2002205,1621275,1384739,1089310,800543,598910,418402,304934,180921,121832,28624152,3401239,3276728,2962804,2689084,2612027,2600285,2293353,2061754,1670058,1427652,1124571,824664,616734,431743,315629,188163,127664,29034307,3389829,3281221,2994789,2714776,2639125,2632138,2322845,2119487,1720290,1471748,1160970,850164,635128,445494,326681,195728,133894,29441457,3379345,3282963,3020947,2744244,2665209,2663821,2352789,2171508,1772025,1517069,1198289,877233,654153,459640,338093,203599,140530,29845035,3370159,3281934,3041285,2777184,2689916,2695197,2382985,2217686,1825339,1563682,1236569,905816,673847,474202,349876,211775,147583,30244509,3362793,3277695,3056022,2813253,2712944,2726141,2413379,2257745,1880299,1611636,1275839,935998,694188,489204,362055,220250,155068,30639183,3357575,3270095,3065276,2849358,2736801,2756516,2443858,2291272,1937077,1660980,1316158,967067,715846,504675,374613,229026,162990,31028631,3352392,3261026,3070523,2881597,2763980,2786128,2474282,2321691,1992146,1711779,1357573,999120,738725,520649,387564,238109,171347,31412556,3345210,3252644,3073140,2908209,2794975,2814622,2504503,2352529,2041834,1764078,1400129,1031983,762987,537158,400901,247516,180138,31790728,3336347,3245345,3073093,2929185,2829486,2841622,2534395,2383598,2086015,1817956,1443872,1065678,788590,554262,414645,257257,189382,32162917,3326073,3239661,3069989,2944746,2867193,2866837,2563827,2414816,2124411,1873479,1488866,1100251,815602,571916,428824,267335,199091,32529819,3315802,3235905,3063651,2954947,2904976,2892938,2592658,2446072,2156628,1930799,1535131,1135732,843397,590704,443450,277766,209263,32892183,3306736,3232062,3055882,2961244,2938857,2922568,2620713,2477228,2185891,1986394,1582736,1172172,872085,610545,458569,288554,219947,33249459,3298664,3226221,3048743,2965007,2967002,2956219,2647700,2508182,2215554,2036636,1631756,1209634,901502,631576,474230,299702,231131,33601258,3291298,3218689,3042627,2966213,2989427,2993586,2673282,2538814,2245440,2081408,1682261,1248177,931693,653785,490465,311234,242859,33947027,3284425,3209756,3038022,2964463,3006341,3034302,2697201,2568997,2275472,2120441,1734322,1287827,962685,677201,507261,323172,255139
BIHĀR,1,NA,INDIA_BIHĀR,80847599,12576415,12324818,10269973,7268152,6263868,6079269,5631895,4576676,3648365,2940268,2407877,2094169,1860259,1376745,848858,413883,266109,82746110,12694093,12567744,10430747,7399312,6387500,6212258,5840785,4747742,3787428,3056009,2496130,2169573,1929181,1430618,884487,432522,279981,84664014,12797876,12797089,10607377,7530803,6513287,6339161,6047900,4925800,3932000,3176874,2590177,2248414,2001128,1486949,922024,452346,294809,86599854,12893312,13004986,10801687,7661732,6640943,6469662,6242102,5111245,4082403,3302424,2690732,2330978,2076197,1545889,961480,473434,310648,88550840,12979981,13190939,11012790,7791032,6770169,6603238,6422702,5304457,4238913,3432873,2797841,2417530,2154527,1607570,1002879,495840,327559,90514046,13056483,13355350,11239531,7917964,6900623,6739756,6588492,5505787,4401787,3568437,2911879,2508042,2236294,1672117,1046269,519606,345629,92483658,13121921,13498386,11469819,8050224,7031984,6878984,6737904,5715885,4571251,3709275,3030650,2604921,2321591,1739472,1091644,544741,365006,94461370,13183156,13625902,11687748,8195022,7163492,7020336,6880464,5924245,4747413,3855435,3154408,2707794,2410422,1809529,1138955,571211,385838,96452256,13248414,13743369,11885772,8353240,7294053,7163218,7026413,6119676,4930442,4007077,3282574,2817309,2502995,1882281,1188260,598995,408168,98454527,13319200,13850284,12063297,8524190,7422607,7307257,7175143,6301419,5120651,4164443,3415320,2933491,2599579,1957832,1239653,628102,432059,100466253,13397640,13944535,12220632,8706869,7548364,7452047,7326497,6468259,5318379,4327753,3552846,3056692,2700102,2036333,1293194,658535,457576,102485307,13485257,14025101,12357690,8891657,7678502,7597248,7480207,6618646,5524259,4497299,3695376,3184720,2807301,2117988,1348937,690350,484769,104509887,13573524,14099705,12479794,9066206,7820012,7742198,7635777,6762016,5728248,4673302,3843119,3317967,2920897,2202967,1406903,723577,513675,106538953,13653886,14177228,12591982,9224948,7973996,7885703,7792576,6908369,5919523,4855933,3996223,3455823,3041595,2291465,1467103,758263,544337,108571557,13727306,14259434,12693759,9367320,8139788,8026584,7950141,7057108,6097303,5045474,4154897,3598450,3169382,2383725,1529623,794464,576799,110606581,13794700,14348647,12783149,9493488,8316502,8163874,8108004,7208025,6260367,5242217,4319351,3746015,3304608,2479678,1594578,832247,611131,112646425,13861687,14446351,12858972,9603167,8494911,8305088,8265598,7360683,6407049,5446646,4489747,3898655,3444884,2581828,1662110,871641,647408,114693399,13933201,14543559,12928443,9700565,8663255,8457833,8422247,7514641,6546501,5648823,4666309,4056610,3590651,2689940,1732397,912688,685736,116745688,14008343,14631478,13000083,9789871,8816196,8623711,8576896,7669513,6688567,5838146,4849336,4220128,3741371,2804747,1805650,955438,726214,118801359,14085901,14711212,13075591,9870734,8953227,8802015,8728284,7824843,6832679,6013881,5039122,4389448,3897238,2926237,1882066,999958,768923,120858632,14164968,14783820,13157099,9941636,9074526,8991851,8875376,7980197,6978630,6174831,5235934,4564764,4058416,3054690,1961594,1046341,813959
CHANDĪGARH,1,NA,INDIA_CHANDĪGARH,881314,87816,81395,75024,87061,102454,95207,79012,64614,52954,45213,37103,28591,17360,11346,7641,5262,3261,895871,87843,82260,75527,87844,103549,96428,81205,66425,54479,46569,38119,29351,17843,11686,7892,5450,3401,910397,87764,83010,76130,88607,104648,97526,83325,68294,56050,47971,39199,30141,18342,12037,8153,5650,3550,924873,87618,83597,76838,89338,105744,98643,85225,70222,57667,49413,40352,30962,18859,12401,8427,5860,3707,939272,87405,84023,77641,90028,106830,99776,86898,72212,59334,50894,41576,31816,19392,12779,8711,6083,3874,953562,87115,84294,78527,90666,107904,100918,88333,74266,61051,52417,42875,32704,19945,13172,9006,6318,4051,967682,86743,84411,79404,91341,108956,102062,89512,76385,62817,53981,44212,33651,20515,13577,9312,6563,4240,981647,86334,84415,80163,92132,109972,103199,90565,78432,64630,55583,45589,34651,21103,13993,9626,6819,4441,995517,85948,84346,80765,93047,110942,104326,91632,80263,66495,57227,46997,35711,21709,14420,9950,7084,4655,1009266,85595,84205,81204,94075,111852,105437,92705,81874,68414,58916,48439,36830,22335,14859,10284,7360,4882,1022880,85289,83980,81494,95201,112695,106527,93782,83257,70389,60649,49916,38010,22983,15311,10628,7646,5123,1036334,85035,83669,81634,96314,113582,107593,94856,84396,72426,62430,51429,39221,23670,15776,10983,7941,5379,1049615,84781,83318,81664,97283,114612,108624,95924,85417,74392,64260,52980,40469,24397,16255,11348,8245,5646,1062712,84476,82985,81622,98058,115796,109607,96980,86449,76153,66142,54571,41746,25165,16749,11724,8561,5928,1075615,84130,82679,81508,98642,117120,110531,98021,87488,77705,68076,56205,43053,25977,17261,12110,8886,6223,1088319,83750,82416,81315,99040,118567,111388,99044,88528,79039,70069,57884,44394,26833,17789,12508,9222,6533,1100849,83374,82206,81039,99260,120003,112292,100045,89571,80143,72126,59610,45769,27713,18351,12918,9570,6859,1113226,83034,81999,80730,99351,121269,113343,101019,90613,81140,74118,61387,47181,28623,18946,13343,9931,7199,1125434,82723,81747,80443,99362,122302,114554,101957,91651,82154,75912,63219,48636,29555,19576,13783,10303,7557,1137457,82436,81459,80188,99293,123103,115913,102846,92680,83179,77503,65109,50133,30512,20244,14240,10688,7931,1149278,82168,81141,79979,99131,123682,117401,103679,93697,84213,78884,67058,51676,31497,20948,14713,11087,8324
CHHATTĪSGARH,1,NA,INDIA_CHHATTĪSGARH,20324881,2585594,2335071,2198066,2065091,1916892,1684676,1496510,1302370,1150767,949292,746819,611348,474438,362720,238870,130166,76191,20754796,2600638,2372751,2224473,2094767,1947809,1715551,1546587,1346337,1190529,983185,771513,631109,490326,375631,248092,135584,79914,21187498,2612566,2407477,2253856,2124166,1979033,1744417,1595745,1391871,1231649,1018406,797767,651684,506830,389072,257754,141329,83876,21622665,2622518,2437762,2286603,2153021,2010434,1773922,1641020,1439055,1274189,1054806,825788,673136,523972,403060,267871,147412,88096,22059467,2630413,2463539,2322473,2181025,2041916,1803924,1682267,1487953,1318219,1092403,855550,695526,541776,417619,278432,153854,92578,22497211,2636010,2484941,2361223,2207916,2073373,1834366,1719223,1538654,1363780,1131258,887149,718826,560266,432782,289438,160655,97351,22934464,2639073,2501985,2400267,2235698,2104648,1865134,1751469,1591244,1410902,1171373,919866,743698,579443,448515,300881,167817,102451,23371605,2641043,2515826,2436279,2266381,2135537,1896074,1781532,1642809,1459584,1212749,953753,770005,599307,464779,312733,175310,107904,23809867,2643648,2527571,2467736,2300372,2165769,1927072,1812118,1690281,1509893,1255438,988650,797938,619891,481588,325020,183142,113740,24248862,2647191,2537162,2494589,2337491,2195047,1958037,1843098,1733511,1561926,1299512,1024596,827479,641266,498950,337751,191303,119953,24688033,2652092,2544242,2516944,2377477,2223112,1988859,1874398,1772210,1615736,1345017,1061627,858699,663409,516905,350949,199788,126569,25126881,2658623,2548649,2534848,2417769,2252046,2019452,1905955,1806001,1671491,1392008,1099790,890972,686967,535486,364617,208619,133588,25564968,2665159,2551883,2549498,2455072,2283937,2049678,1937679,1837552,1726182,1440569,1139155,924411,711888,554735,378769,217785,141016,26002015,2670129,2555641,2562046,2487827,2319223,2079306,1969470,1869679,1776579,1490786,1179793,958858,738354,574712,393417,227327,148868,26437839,2673745,2560258,2572443,2515993,2357689,2108046,2001239,1902225,1822535,1542739,1221755,994363,766357,595477,408583,237236,157156,26872072,2676226,2566148,2580309,2539672,2399090,2135682,2032870,1935130,1863737,1596494,1265095,1030960,795951,616998,424285,247538,165887,27305436,2678719,2573610,2585501,2558910,2440833,2164243,2064266,1968334,1899808,1652231,1309873,1068705,826568,639917,440573,258250,175095,27738365,2682207,2581050,2589510,2574896,2479566,2195725,2095286,2001717,1933541,1706932,1356159,1107655,858306,664173,457475,269382,184785,28170482,2686498,2586917,2594053,2588775,2513735,2230468,2125683,2035178,1967875,1757432,1404025,1147879,891029,689947,475046,280951,194991,28601328,2691365,2591444,2599466,2600486,2543266,2268270,2155152,2068620,2002663,1803571,1453556,1189433,924768,717224,493341,292972,205731,29030418,2696651,2594830,2606187,2609657,2568282,2308869,2183466,2101936,2037846,1845056,1504820,1232370,959570,746055,512329,305461,217033
DĀDRA AND NAGAR HAVELI,1,NA,INDIA_DĀDRA AND NAGAR HAVELI,211653,28389,23419,20347,19965,27113,24978,19339,14161,10111,7480,5440,4108,2837,1926,1131,572,337,221413,29278,24402,21115,20771,28256,26084,20491,15009,10724,7944,5763,4348,3006,2045,1204,611,362,231560,30162,25390,21943,21605,29448,27205,21680,15910,11376,8438,6111,4605,3186,2172,1284,654,391,242086,31052,26367,22833,22465,30688,28377,22866,16869,12068,8961,6488,4877,3378,2308,1369,699,421,253013,31945,27331,23790,23348,31977,29604,24045,17889,12804,9519,6894,5170,3583,2452,1460,749,453,264341,32838,28279,24813,24254,33317,30885,25211,18974,13588,10111,7332,5481,3802,2607,1557,803,489,276063,33728,29210,25877,25206,34705,32221,26354,20130,14420,10741,7799,5818,4034,2772,1660,860,528,288199,34629,30133,26948,26232,36139,33611,27509,21320,15304,11409,8296,6180,4280,2947,1770,921,571,300782,35564,31061,28007,27333,37615,35054,28715,22508,16243,12117,8823,6571,4543,3134,1888,988,618,313813,36539,31990,29051,28514,39130,36551,29973,23687,17239,12870,9382,6993,4822,3331,2014,1059,668,327303,37562,32916,30077,29772,40682,38103,31284,24852,18299,13668,9974,7447,5119,3541,2148,1135,724,341262,38638,33834,31084,31077,42313,39708,32649,25993,19424,14515,10603,7928,5440,3766,2290,1216,784,355698,39744,34760,32081,32387,44065,41362,34065,27144,20584,15414,11269,8441,5785,4002,2441,1304,850,370619,40856,35718,33079,33680,45945,43063,35534,28346,21739,16368,11976,8985,6157,4255,2602,1396,920,386042,41979,36714,34080,34955,47957,44805,37056,29597,22885,17380,12725,9561,6557,4525,2773,1496,997,401974,43112,37757,35076,36208,50100,46588,38632,30899,24016,18456,13521,10172,6989,4811,2956,1601,1080,418438,44278,38853,36064,37437,52319,48461,40260,32255,25125,19598,14365,10820,7448,5120,3150,1715,1170,435457,45492,39982,37063,38658,54548,50472,41942,33665,26243,20776,15260,11508,7936,5454,3356,1835,1267,453049,46755,41118,38099,39884,56755,52636,43673,35128,27414,21952,16213,12239,8454,5814,3577,1965,1373,471216,48067,42268,39179,41115,58934,54953,45449,36648,28635,23121,17224,13014,9005,6202,3812,2103,1487,489974,49423,43433,40312,42345,61084,57425,47269,38224,29908,24276,18301,13840,9589,6621,4064,2250,1610
